id,Y,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27
71,1,76077,113124,1,43,120722,1000,130937,1,123950,128315,1,122164,113481,129199,1,295793,121070,1,119186,1,1,137677,1,84215,,,
72,1,77832,33303,0,38,121593,1000,143236,1,125171,139254,1,123035,33660,129668,1,164032,122291,1,218447,1,1,138146,1,85970,,,
73,1,37568,4654,0,33,121825,1000,130752,1,125053,128040,1,123267,5011,119252,1,124223,122173,1,118773,1,1,127730,1,45706,,,
74,1,26014,831,0,44,120824,1000,317393,2,286110,139068,1,122266,1188,118087,1,156682,283230,1,120494,1,1,126565,1,34152,,,
75,1,26884,1963,0,35,120065,3000,131483,2,123293,128573,1,121507,2320,118521,1,223438,120413,1,119444,1,1,126999,1,35022,,,
76,1,35431,14656,1,37,119657,8000,303218,1,122885,128051,2,121099,15013,119063,1,122345,120005,1,118832,1,1,127541,1,43569,,,
77,1,47322,4004,0,40,120064,18000,315517,1,123643,138050,1,121506,4361,118848,1,121648,120763,1,119703,1,1,127326,1,55460,,,
78,1,47102,46222,0,39,120634,9000,142996,1,124212,138886,1,122076,46579,119031,1,209979,121332,1,120629,1,1,127509,1,55240,,,
79,1,26992,20596,0,34,121888,2000,131305,1,125116,131012,1,123330,20953,121085,1,142383,122236,1,121735,1,1,129563,1,35130,,,
80,1,76269,54321,0,41,119325,1000,130752,1,122552,128326,1,120767,54678,118563,1,128210,119672,1,118832,1,1,127041,2,84407,,,
81,1,33269,2361,1,38,123840,1000,131994,1,127068,129691,1,125282,2718,118706,1,313312,124188,1,120562,1,1,127184,1,41407,,,
82,1,39390,31090,0,33,118759,6000,130186,1,121986,128579,1,120201,31447,117966,1,119784,119106,1,119083,1,1,126444,1,47528,,,
83,1,7976,742,0,40,119657,18000,303218,1,122885,128299,1,121099,1099,119252,1,119777,120005,1,118832,1,1,127730,1,16114,,,
84,1,17712,78481,0,44,120685,1000,317393,1,264495,138176,1,122127,78838,135387,1,124766,261615,1,120297,1,1,143865,1,25850,,,
85,1,83251,5333,0,38,120038,2000,142893,1,123615,139595,1,121480,5690,119979,1,122036,120735,1,121338,1,1,128457,1,91389,,,
86,1,36732,228,0,41,118779,9000,303218,1,122006,128385,1,120221,585,118817,1,242854,119126,1,118832,1,1,127295,1,44870,,,
87,1,95616,5433,0,39,122516,1000,143558,1,126095,138341,1,123958,5790,120135,1,122701,123215,1,119703,1,1,128613,1,103754,,,
88,1,78384,17807,0,37,119657,3000,303218,1,122885,128051,1,121099,18164,120057,1,120656,120005,1,118832,1,1,128535,1,86522,,,
89,0,75105,13850,0,37,119650,2000,320873,1,122878,127961,1,121092,14207,118572,1,187488,119998,1,118832,1,1,127050,1,83243,,,
90,1,23375,2961,0,46,260178,157000,143022,1,263756,138886,1,261620,3318,121250,1,297373,260876,1,120629,1,1,129728,1,31513,,,
91,1,103618,17243,0,31,138892,1000,132817,1,142120,128299,1,140334,17600,19843,1,189659,139240,1,118832,2,1,28321,1,111756,,,
92,1,111301,6089,0,37,119193,1000,303218,1,122422,128412,1,120635,6446,122078,1,119777,119542,1,118832,1,1,130556,2,119439,,,
93,1,79194,4949,0,40,119296,2000,130723,1,122523,128290,1,120738,5306,120097,1,245658,119643,1,119161,1,1,128575,1,87332,,,
94,1,17363,3920,0,42,120281,6000,333172,1,123858,138341,1,121723,4277,120129,1,136541,120978,1,119703,2,1,128607,1,25501,,,
95,1,33269,1526,0,50,119657,4000,303218,1,122885,128224,1,121099,1883,120734,1,242854,120005,1,118832,1,1,129212,1,41407,,,
96,1,21363,4413,0,42,119296,1000,130723,1,122523,128299,1,120738,4770,118668,1,152698,119643,1,118832,1,1,127146,1,29501,,,
97,1,23380,5059,0,47,120656,1000,143022,1,124234,138886,1,122098,5416,118773,1,313033,121354,1,120629,1,1,127251,1,31518,,,
98,1,42324,1177,0,40,120064,1000,315517,1,123643,137960,1,121506,1534,118494,1,121648,120763,1,119703,1,1,126972,1,50462,,,
99,1,35144,1689,0,50,119715,1000,142485,1,185053,138325,1,121157,2046,118649,2,183473,182173,1,119703,1,1,127127,1,43282,,,
100,1,82179,1940,0,43,120429,2000,333172,1,124007,138341,1,121871,2297,118656,1,124058,121127,1,119703,1,1,127134,1,90317,,,
101,1,88090,3962,0,43,118779,10000,303218,1,122006,128342,1,120221,4319,118585,1,119777,119126,1,118832,1,1,127063,1,96228,,,
102,0,79201,16015,0,33,120824,2000,317393,1,286110,139254,1,122266,16372,119399,1,284530,283230,1,119703,1,1,127877,1,87339,,,
103,1,33269,5174,0,36,119167,1000,130594,1,122394,128290,2,120609,5531,119961,1,120165,119514,1,119161,1,1,128439,1,41407,,,
104,1,80401,46291,0,45,120386,1000,143241,1,123963,138325,1,121828,46648,126452,1,127623,121083,1,119703,1,1,134930,1,88539,,,
105,1,24920,1485,0,47,119707,12000,130723,1,122935,128342,1,121149,1842,118904,1,129031,120055,1,118832,1,1,127382,1,33058,,,
106,1,6673,22468,0,48,120521,2000,333172,1,124099,138411,1,121963,22825,126371,1,283185,121219,1,119703,1,1,134849,1,14811,,,
107,1,22914,25782,0,33,119441,1000,32020,1,122669,128006,2,120883,26139,118079,1,294066,119789,1,118877,1,1,126557,1,31052,,,
108,1,34376,19679,0,33,120528,9000,315517,2,124106,138411,1,121970,20036,118623,1,121648,121226,1,119703,1,1,127101,1,42514,,,
109,1,20311,17193,0,33,124826,5000,44391,1,128404,138298,1,126268,17550,118952,1,201429,125524,1,119703,1,1,127430,1,28449,,,
110,1,30292,21881,0,25,122391,4000,142996,1,125969,137967,1,123833,22238,126716,1,163749,123089,1,119703,1,1,135194,1,38430,,,
111,1,31695,49133,0,34,122696,1000,143051,1,126274,179714,1,124138,49490,118520,1,163459,123394,2,119954,1,1,126998,1,39833,,,
112,1,76476,13172,0,38,119715,1000,142485,1,185053,138223,1,121157,13529,120677,1,141667,182173,1,119703,1,1,129155,1,84614,,,
113,1,27912,2304,0,46,121645,18000,131259,1,124874,127902,1,123087,2661,120622,1,120830,121994,1,118773,1,1,129100,1,36050,,,
114,1,39718,50506,0,43,118759,4000,130186,1,121986,128079,1,120201,50863,117949,1,120048,119106,2,118950,1,1,126427,1,47856,,,
115,1,19247,17255,0,44,124810,4000,142996,1,128389,138298,1,126252,17612,118537,1,273148,125509,1,119703,1,1,127015,1,27385,,,
116,1,18277,120359,0,42,121217,2000,130723,1,124445,130342,1,122659,120716,119147,1,129973,121565,1,121213,1,1,127625,1,26415,,,
117,1,44535,2628,0,56,119190,3000,130504,1,122419,128326,1,120632,2985,122050,1,170236,119539,1,118832,1,1,130528,1,52673,,,
118,1,303048,53208,0,42,119203,2000,130630,1,311125,128299,1,120645,53565,19843,1,202185,308245,1,118832,1,1,28321,1,311186,,,
119,1,2019,17576,0,52,119190,2000,130504,1,122419,128025,1,120632,17933,118777,1,170236,119539,1,92132,1,1,127255,1,10157,,,
120,1,68716,26707,0,36,124722,3000,130186,1,127951,127932,1,126164,27064,117949,1,137104,125071,1,118803,1,1,126427,1,76854,,,
121,0,5825,34648,0,30,120064,1000,315517,1,123643,138325,1,121506,35005,118462,1,121648,120763,1,119703,1,1,126940,1,13963,,,
122,1,44029,82227,0,38,120429,1000,333172,1,124007,138461,1,121871,82584,118664,1,143429,121127,1,120057,1,1,127142,1,52167,,,
123,1,35957,34140,0,42,119193,2000,303218,1,122422,128177,1,120635,34497,118391,1,119777,119542,1,119426,1,1,126869,1,44095,,,
124,1,24180,51122,0,44,119441,1000,32020,1,122669,127876,1,120883,51479,117949,1,191867,119789,1,118747,1,2,126427,1,32318,,,
125,1,44187,5469,0,39,119650,1000,315517,1,123227,138325,1,121092,5826,118533,1,121648,120347,1,119703,1,1,127011,1,52325,,,
126,1,76465,16545,0,41,120835,10000,130504,1,124063,128025,1,122277,16902,123009,1,170236,121183,1,92132,1,1,131487,1,84603,,,
127,0,17696,4700,0,36,120381,1000,143236,1,123958,138223,1,121823,5057,122440,1,129408,121078,1,119703,1,1,130918,1,25834,,,
128,1,28435,14617,0,41,119640,2000,142485,1,123218,138578,1,121082,14974,118037,1,121639,120338,1,119954,1,1,126515,1,36573,,,
129,1,27892,111973,0,40,120528,2000,315517,1,124106,138298,1,121970,112330,118925,2,121648,121226,1,119703,1,1,127403,1,36030,,,
130,1,81990,70103,0,46,121706,8000,142803,1,125284,138024,1,123148,70460,118344,1,172107,122404,1,93003,1,1,126822,1,90128,,,
131,1,4852,4583,0,36,118779,1000,303218,1,122006,128385,1,120221,4940,122032,1,119777,119126,1,118832,1,1,130510,1,12990,,,
132,0,18016,15931,0,30,121593,1000,143236,1,125171,138050,1,123035,16288,120446,1,315364,122291,1,119703,1,1,128924,1,26154,,,
133,1,78501,2086,0,42,120065,6000,131483,1,123293,128075,1,121507,2443,131939,2,278293,120413,1,118851,1,1,140417,1,86639,,,
134,1,36454,17658,0,43,119190,1000,130504,1,122419,128051,1,120632,18015,118777,1,170236,119539,1,118832,1,1,127255,1,44592,,,
135,1,2022,16575,0,36,119657,4000,303218,1,122885,128326,2,121099,16932,120389,1,119777,120005,1,118832,1,1,128867,1,10160,,,
136,1,39718,50506,0,41,118751,32000,32020,1,121980,128079,1,120193,50863,117949,1,120048,119100,1,118950,1,1,126427,1,47856,,,
137,1,43610,4638,0,39,119657,1000,303218,3,122885,128299,1,121099,4995,119252,1,123744,120005,1,118832,1,1,127730,1,51748,,,
138,1,3149,311733,0,34,122734,1000,142996,1,126312,137901,1,124176,312090,118649,1,124733,123432,1,119644,1,1,127127,1,11287,,,
139,1,74143,5271,0,41,119853,1000,130594,1,123081,128887,1,121295,5628,120197,1,190242,120201,4,119758,1,1,128675,1,82281,,,
140,0,38048,2649,0,41,119650,1000,315517,1,123227,138384,1,121092,3006,124043,1,121648,120347,1,119703,1,1,132521,1,46186,,,
141,1,38942,25790,0,27,118771,1000,32020,1,122000,128006,1,120213,26147,118012,1,119768,119120,1,118877,1,1,126490,1,47080,,,
142,1,36922,16280,0,42,120585,2000,143241,1,124163,138325,1,122027,16637,119075,1,132489,121283,1,119703,1,1,127553,1,45060,,,
143,1,20070,4398,0,44,120739,114000,317393,1,124317,138572,1,122181,4755,118765,1,289848,121437,1,120315,1,1,127243,2,28208,,,
144,1,26041,16591,0,36,255267,1000,266694,1,239452,127968,1,256709,16948,196894,1,256265,236572,1,118832,1,1,205372,1,34179,,,
145,1,32231,275562,0,47,119441,1000,32020,1,122669,127876,1,120883,275919,117949,1,181731,119789,1,118747,1,1,126427,1,40369,,,
146,1,22297,11550,0,39,121877,115000,144732,1,125454,137928,1,123319,11907,118062,1,200840,122574,1,119671,1,1,126540,2,30435,,,
147,1,44859,60198,0,44,118751,3000,32020,1,121980,128010,1,120193,60555,118012,1,119757,119100,1,118787,1,1,126490,1,52997,,,
148,1,15569,70497,0,32,118751,1000,32020,1,121980,128953,1,120193,70854,118012,1,119757,119100,1,119824,1,1,126490,1,23707,,,
149,1,1916,15664,0,51,119203,6000,130630,2,311125,128342,1,120645,16021,119867,1,312479,308245,1,118832,1,1,128345,1,10054,,,
150,1,74988,4329,0,42,119620,2000,130752,1,122848,129090,1,121062,4686,118585,1,273205,119968,1,119933,1,1,127063,1,83126,,,
151,1,77899,4987,0,37,122088,1000,143022,2,125666,138341,1,123530,5344,119740,1,315102,122786,1,119703,1,1,128218,1,86037,,,
152,1,18995,15982,0,48,126543,2000,146218,1,130121,138289,1,127985,16339,121759,1,155989,127241,1,120032,1,1,130237,1,27133,,,
153,1,81532,3260,0,41,119193,1000,303218,1,122422,128342,1,120635,3617,118585,1,119777,119542,1,118832,1,1,127063,1,89670,,,
154,1,76410,16793,0,42,119650,1000,315517,2,123227,150598,1,121092,17150,139819,1,121648,120347,1,120804,1,1,148297,1,84548,,,
155,1,35713,1106,0,48,118926,2000,130186,1,122155,128326,1,120368,1463,119901,1,119925,119275,1,118832,1,1,128379,1,43851,,,
156,1,46299,1568,0,40,118926,1000,130186,1,122155,128224,1,120368,1925,123244,1,122385,119275,1,118832,1,1,131722,1,54437,,,
157,1,7171,5247,0,36,121177,1000,143022,1,124755,138341,1,122619,5604,119740,1,137428,121875,1,119703,1,1,128218,1,15309,,,
158,1,34238,27120,0,35,119736,1000,130697,1,122964,128326,1,121178,27477,118578,1,149019,120084,1,118832,1,1,127056,2,42376,,,
159,1,77460,1651,0,43,120491,1000,143051,1,124069,138325,2,121933,2008,120313,1,133876,121189,1,119703,1,1,128791,1,85598,,,
160,1,280391,16875,0,41,120074,1000,142929,1,312346,138411,1,121516,17232,120512,1,314350,309466,1,119703,1,1,128990,1,288529,,,
161,1,46480,18468,0,38,118779,1000,303218,1,122006,128051,1,120221,18825,118892,1,242854,119126,1,118832,2,1,127370,1,54618,,,
162,1,82701,4621,0,38,120064,1000,315517,1,123643,138298,1,121506,4978,120439,1,121648,120763,1,119703,1,1,128917,1,90839,,,
163,1,17190,6238,0,35,123142,1000,130942,1,126370,128326,1,124584,6595,121716,1,124141,123490,1,118832,1,1,130194,1,25328,,,
164,1,98514,15931,0,43,120429,10000,333172,1,124007,138050,1,121871,16288,120128,1,130039,121127,1,119703,1,1,128606,1,106652,,,
165,1,30707,4375,0,35,119193,1000,303218,1,122422,128051,1,120635,4732,119813,1,120319,119542,1,118832,1,1,128291,1,38845,,,
166,1,22220,32832,0,42,120824,1000,317393,1,286110,138255,1,122266,33189,118765,1,197386,283230,1,119998,1,1,127243,1,30358,,,
167,1,27991,5064,0,40,120578,1000,143022,1,124156,138341,1,122020,5421,119740,1,137428,121276,1,119703,1,1,128218,1,36129,,,
168,1,4250,819,0,37,120528,4000,315517,1,124106,138411,1,121970,1176,127664,1,244725,121226,1,119703,1,1,136142,1,12388,,,
169,1,37886,17628,0,45,118771,4000,32020,1,122000,128006,1,120213,17985,117955,1,119768,119120,1,118877,1,1,126433,1,46024,,,
170,1,28358,5030,2,38,120656,1000,143022,1,124234,138341,3,122098,5387,119121,1,313033,121354,1,119703,1,1,127599,1,36496,,,
171,0,29414,6913,0,37,120312,2000,44319,1,123890,137977,2,121754,7270,118062,1,125055,121010,1,119720,1,1,126540,1,37552,,,
172,1,82523,55292,0,36,122016,2000,261917,1,125244,128025,1,123458,55649,118098,1,283260,122364,1,92132,1,1,126576,2,90661,,,
173,1,81090,1792,0,37,127537,1000,143241,1,131115,137960,1,128979,2149,119365,1,141164,128235,1,119703,2,1,127843,1,89228,,,
174,1,80091,31869,0,46,119441,5000,32020,1,122669,41009,1,120883,32226,117955,1,245927,119789,1,119056,1,1,126433,1,88229,,,
175,1,8677,4292,0,55,122287,1000,131003,1,125515,128326,1,123729,4649,118815,1,131429,122635,1,118832,1,1,127293,1,16815,,,
176,1,76927,83952,0,43,119515,16000,130942,1,122742,148798,1,120957,84309,120610,1,255809,119862,1,139669,1,1,129088,1,85065,,,
177,1,105118,1484,0,42,122434,1000,315517,1,126012,138341,1,123876,1841,120864,1,124432,123132,1,119703,1,1,129342,1,113256,,,
178,1,27359,5048,0,37,120306,1000,130723,1,123534,128342,1,121748,5405,120197,1,135557,120654,1,118832,1,1,128675,1,35497,,,
179,1,42114,27232,0,31,119132,1000,303218,1,122360,128385,1,120574,27589,118763,1,134586,119480,1,118832,1,1,127241,1,50252,,,
180,1,77270,5290,0,36,120724,1000,142893,1,124302,138886,1,122166,5647,120268,1,192113,121422,1,120629,1,1,128746,1,85408,,,
181,1,33269,5040,0,42,119785,1000,130723,1,123013,128887,1,121227,5397,118702,1,311162,120133,1,119758,1,1,127180,1,41407,,,
182,1,7762,2895,0,30,129590,1000,142945,1,133169,138218,1,131032,3252,118486,2,132094,130289,1,119961,1,1,126964,1,15900,,,
183,1,41380,4003,0,37,119650,1000,315517,1,123227,138341,1,121092,4360,122154,1,121648,120347,1,119703,1,1,130632,1,49518,,,
184,1,83348,4773,0,31,120074,1000,142929,1,312346,138298,2,121516,5130,118443,1,208335,309466,1,119703,1,4,126921,1,91486,,,
185,1,35172,2799,0,36,119325,1000,130752,1,122552,128299,1,120767,3156,118854,1,132005,119672,1,118832,1,1,127332,1,43310,,,
186,1,75754,5767,0,44,122322,1000,143360,1,125900,138444,1,123764,6124,118975,1,141235,123020,2,119703,1,1,127453,1,83892,,,
187,1,30770,69107,0,49,118844,1000,130186,1,183832,128299,1,120286,69464,118041,1,145689,180952,1,118832,1,1,126519,1,38908,,,
188,1,36375,8534,0,31,119608,1000,131035,1,122835,128385,1,121050,8891,118804,1,120606,119955,1,118832,1,1,127282,1,44513,,,
189,1,76833,109381,0,37,118844,1000,130186,1,183832,130140,1,120286,109738,120213,1,120909,180952,1,121011,1,1,128691,1,84971,,,
190,1,21293,26001,0,39,118844,1000,130186,1,183832,127916,1,120286,26358,118670,1,162628,180952,1,118787,1,1,127148,1,29431,,,
191,1,27239,25299,0,31,120281,1000,333172,1,123858,138325,1,121723,25656,118462,1,262110,120978,1,119703,1,1,126940,1,35377,,,
192,0,16656,2612,0,42,129102,9000,16972,1,132331,128299,1,130544,2969,120481,1,304701,129451,1,118832,1,1,128959,1,24794,,,
193,0,30259,51025,0,34,119193,8000,303218,1,122422,128412,1,120635,51382,120597,1,119777,119542,1,118832,1,1,129075,1,38397,,,
194,1,77832,51110,0,44,124604,1000,27728,1,128182,138223,1,126046,51467,120192,1,261252,125302,1,119703,1,1,128670,1,85970,,,
195,1,41260,7106,0,46,120528,1000,315517,1,124106,138384,1,121970,7463,123986,1,125668,121226,1,119703,1,1,132464,1,49398,,,
196,1,26748,2616,0,45,119953,2000,305094,1,284889,128169,1,121395,2973,118016,1,269823,282009,1,119040,1,2,126494,1,34886,,,
197,1,41382,3906,0,34,120064,1000,315517,1,123643,138223,1,121506,4263,120192,2,121648,120763,1,119703,1,1,128670,1,49520,,,
